ticker,market_open_epoch,signal_side,outcome,initial_ask_cents,entry_limit_cents,old_reached_40,eventual_winner,observed_limit_touch_60s,observed_strict_trade_through_60s,observed_stop_45_after_touch_60s,lowest_recorded_bid_60s_cents
KXBTC15M-26AUG191430-30,1787163300.0,yes,yes,53,52,False,True,True,True,False,47
KXBTC15M-26AUG191445-45,1787164200.0,no,yes,58,57,True,False,True,True,False,54
KXBTC15M-26AUG191500-00,1787165100.0,no,no,47,46,True,True,True,True,True,37
KXBTC15M-26AUG191515-15,1787166000.0,yes,no,50,49,True,False,True,True,True,42
KXBTC15M-26AUG191545-45,1787167800.0,yes,yes,57,56,False,True,True,True,True,41
KXBTC15M-26AUG191600-00,1787168700.0,no,yes,49,48,True,False,True,True,True,45
KXBTC15M-26AUG191615-15,1787169600.0,no,yes,45,44,True,False,True,True,True,36
KXBTC15M-26AUG191630-30,1787170500.0,no,yes,65,64,True,False,True,True,False,60
KXBTC15M-26AUG191700-00,1787172300.0,yes,yes,46,45,True,True,True,False,True,44
KXBTC15M-26AUG191715-15,1787173200.0,no,yes,53,52,True,False,False,False,False,52
KXBTC15M-26AUG191745-45,1787175000.0,no,no,58,57,True,True,True,True,True,34
KXBTC15M-26AUG191830-30,1787177700.0,yes,no,45,44,True,False,True,True,True,42
KXBTC15M-26AUG191845-45,1787178600.0,yes,yes,45,44,True,True,False,False,False,44
KXBTC15M-26AUG191900-00,1787179500.0,no,no,51,50,False,True,False,False,False,50
KXBTC15M-26AUG191915-15,1787180400.0,yes,yes,42,41,True,True,False,False,False,41
KXBTC15M-26AUG191930-30,1787181300.0,no,yes,54,53,True,False,True,True,True,40
KXBTC15M-26AUG191945-45,1787182200.0,no,no,49,48,False,True,False,False,False,48
KXBTC15M-26AUG192015-15,1787184000.0,yes,yes,55,54,False,True,False,False,False,54
KXBTC15M-26AUG192030-30,1787184900.0,no,yes,42,41,True,False,True,True,True,28
KXBTC15M-26AUG192045-45,1787185800.0,no,no,46,45,True,True,False,False,False,45
KXBTC15M-26AUG192115-15,1787187600.0,yes,no,47,46,True,False,False,False,False,46
KXBTC15M-26AUG192130-30,1787188500.0,yes,no,49,48,True,False,True,True,False,46
KXBTC15M-26AUG192145-45,1787189400.0,yes,yes,50,49,False,True,True,True,False,47
KXBTC15M-26AUG192200-00,1787190300.0,no,yes,45,44,True,False,True,True,True,38
KXBTC15M-26AUG192215-15,1787191200.0,no,no,53,52,True,True,True,True,True,45
KXBTC15M-26AUG192230-30,1787192100.0,yes,no,48,47,True,False,False,False,False,47
KXBTC15M-26AUG192245-45,1787193000.0,yes,no,52,51,True,False,False,False,False,51
KXBTC15M-26AUG192300-00,1787193900.0,yes,no,53,52,True,False,True,True,False,50
KXBTC15M-26AUG192315-15,1787194800.0,yes,no,49,48,True,False,True,True,True,22
KXBTC15M-26AUG192330-30,1787195700.0,yes,no,53,52,True,False,False,False,False,52
KXBTC15M-26AUG192345-45,1787196600.0,yes,yes,55,54,False,True,False,False,False,53
KXBTC15M-26AUG200015-15,1787198400.0,no,yes,54,53,True,False,True,True,False,47
KXBTC15M-26AUG200030-30,1787199300.0,no,no,50,49,True,True,True,True,True,43
KXBTC15M-26AUG200100-00,1787201100.0,yes,yes,50,49,False,True,False,False,False,49
KXBTC15M-26AUG200115-15,1787202000.0,no,no,51,50,True,True,False,False,False,50
KXBTC15M-26AUG200130-30,1787202900.0,yes,yes,47,46,False,True,True,True,True,40
KXBTC15M-26AUG200145-45,1787203800.0,no,no,60,59,False,True,True,True,False,55
KXBTC15M-26AUG200200-00,1787204700.0,yes,no,47,46,True,False,True,True,True,39
KXBTC15M-26AUG200215-15,1787205600.0,yes,no,50,49,True,False,True,True,True,44
KXBTC15M-26AUG200230-30,1787206500.0,yes,yes,43,42,True,True,True,True,True,40
KXBTC15M-26AUG200245-45,1787207400.0,no,yes,48,47,True,False,True,True,True,40
