Ticker,Market,Name,Final position,Side,Total cost,Total return ($),Total return (%),Last updated
KXBTC15M-26JUL231600-00,BTC price up in next 15 mins?,"Target Price: $64,703.10",18,Yes,4.80,13.20,275.00,2026-07-23T20:00:06.040957Z
KXBTC15M-26JUL231545-45,BTC price up in next 15 mins?,"Target Price: $64,833.75",9,No,2.82,6.14,217.73,2026-07-23T19:45:06.683678Z
KXBTC15M-26JUL231515-15,BTC price up in next 15 mins?,"Target Price: $64,807.79",18,No,4.56,13.40,293.86,2026-07-23T19:15:06.038521Z
KXBTC15M-26JUL231500-00,BTC price up in next 15 mins?,"Target Price: $64,758.53",,,6.04,-4.64,-76.82,2026-07-23T19:00:06.305799Z
KXBTC15M-26JUL231445-45,BTC price up in next 15 mins?,"Target Price: $64,752.63",,,6.03,-5.07,-84.08,2026-07-23T18:45:06.03868Z
KXBTC15M-26JUL231430-30,BTC price up in next 15 mins?,"Target Price: $64,685.31",,,6.06,-4.31,-71.12,2026-07-23T18:30:05.987321Z
KXBTC15M-26JUL231400-00,BTC price up in next 15 mins?,"Target Price: $64,773.49",,,6.04,-4.85,-80.30,2026-07-23T18:00:05.987712Z
KXBTC15M-26JUL231345-45,BTC price up in next 15 mins?,"Target Price: $64,800.42",3,No,1.00,2.00,200.00,2026-07-23T17:45:06.084203Z
KXBTC15M-26JUL231315-15,BTC price up in next 15 mins?,"Target Price: $64,737.27",,,1.01,1.62,160.40,2026-07-23T17:15:06.088128Z
KXBTC15M-26JUL231300-00,BTC price up in next 15 mins?,"Target Price: $64,696.61",1,Yes,0.40,0.60,150.00,2026-07-23T17:00:06.089132Z
